Episode,Score,Avg_Score_100
553,24.701408450703802,32.53209127131443
554,49.611764705881924,32.680561031049315
555,33.99090909090878,32.89498331843934
556,42.092982456140035,32.75516314300073
557,54.541100323624086,33.053574146236976
558,28.36123778501586,33.11918652408715
559,56.075000000003314,33.51247044739102
560,45.371317829456956,33.59950804040131
561,40.59999999999973,33.738328553221834
562,18.765517241378877,33.4947716044235
563,24.299999999999663,33.4565758002277
564,21.76990595611228,33.36127485978882
565,56.01351351351465,34.089167479953915
566,28.891954022988223,34.066415787307086
567,56.0831649831681,34.29074209906048
568,26.631578947368226,34.02774971243354
569,17.03905723905686,34.07583850967618
570,30.764788732393917,33.99060450723635
571,33.86610169491482,34.093541974697445
572,31.927210884353386,34.124444956024206
573,35.355052264807945,34.098890215514395
574,35.324567474047996,33.89171797980709
575,56.09532710280344,34.164657505130656
576,30.331292517006332,34.12255437190657
577,56.05555555555867,34.3672458159639
578,25.777316293929232,34.51564860853282
579,22.16480836236913,34.55985560454323
580,36.99999999999958,34.612713760571594
581,34.40792079207872,34.587139582038205
582,24.72857142857093,34.520287365289434
583,26.578980891719375,34.57407086505837
584,26.247682119204832,34.60439288748881
585,56.06666666667009,34.86712972959411
586,56.0727272727285,35.14620911499746
587,56.057142857144655,35.14598126041474
588,33.25520504731829,35.21065676767805
589,11.630177514792578,35.10494479712152
590,34.681208053690824,35.156042591944136
591,9.919302949061455,34.89578279124608
592,26.6465798045599,34.903389434362104
593,19.765256797582694,34.789301261597195
594,32.769465648854386,34.55688800441667
595,24.707260726072107,34.51450878443487
596,26.71409395973113,34.45343760282007
597,43.57142857142821,34.33940829879075
598,32.71587301587265,34.44658939316674
599,22.04006734006692,34.106541086975504
600,27.017948717948258,34.03767110419033
601,49.05593220338948,33.96745264844641
602,38.4372759856626,33.97111223000846
603,29.54444444444406,33.986913075836995
604,28.089632107023014,33.91592050801834
605,33.86028368794274,34.0473779443043
606,22.8812080536907,34.02715093689333
607,56.04212454212623,34.41465728869757
608,50.63529411764671,34.61411321990727
609,16.74651162790664,34.66134852252174
610,38.28235294117608,35.22475163151308
611,23.346579804559852,35.21277298511424
612,44.855932203389436,35.2261904631765
613,56.095121951220676,35.496830207278876
614,21.66744186046464,35.483318958131086
615,34.836690647481554,35.54709200795062
616,56.00580204778339,35.75479708725198
617,26.30759075907533,35.765260616992585
618,25.21608391608327,35.807910552726625
619,56.01044776119812,35.89086485969015
620,51.18608058608033,36.15448450799468
621,45.7212121212117,36.26608551809569
622,34.56808510638259,36.05146478185791
623,24.939549839227865,36.03460862462105
624,43.42121212121167,35.90837630138871
625,43.513793103448,36.075183022232096
626,40.051090342678876,36.32102168485622
627,44.937748344370206,36.40927642461761
628,27.13129251700628,36.35850024087679
629,56.04368231046985,36.535603730648155
630,32.50311284046633,36.56353141077696
631,30.728571428571044,36.50020601395156
632,29.611455108358804,36.42698960418107
633,31.570198675496144,36.18202836069545
634,34.10704225352059,35.96253121566308
635,40.55270758122688,35.8075844238795
636,56.041463414636524,35.807723695707
637,32.227210884353404,35.719752561307295
